City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,kutum,14.2,24.6667,25.61,12,7,2.86,SD,1680547327
257,son la,21.3167,103.9,21.43,44,13,0.98,VN,1680547328
258,alofi,-19.0595,-169.9187,24.94,94,75,5.14,NU,1680547329
259,pandrup,57.2215,9.6757,4.95,52,75,1.03,DK,1680547330
260,husavik,66.0449,-17.3389,3.43,95,100,3.46,IS,1680547272
261,xuddur,4.1213,43.8894,29.18,52,99,4.52,SO,1680547333
262,gornopravdinsk,60.05,69.9,1.01,97,100,3.56,RU,1680547334
263,fort frances,48.5999,-93.4003,-1.58,80,100,4.12,CA,1680547335
264,arraial do cabo,-22.9661,-42.0278,26.98,65,40,5.66,BR,1680547283
265,pushchino,54.8339,37.6264,9.45,90,100,1.81,RU,1680547338
266,grand gaube,-20.0064,57.6608,26.32,73,100,0.89,MU,1680547194
267,comodoro rivadavia,-45.8667,-67.5,20.92,26,0,8.75,AR,1680547046
268,brae,60.3964,-1.353,5.77,78,68,8.01,GB,1680547341
269,pucallpa,-8.3791,-74.5539,31.02,58,75,2.57,PE,1680547342
270,samarai,-10.6167,150.6667,28.38,77,97,3.63,PG,1680547299
271,los llanos de aridane,28.6585,-17.9182,20.07,79,20,8.75,ES,1680547117
272,leua,48.2156,18.6071,4.72,55,61,3.62,SK,1680547346
273,berlevag,70.8578,29.0864,-1.0,80,100,10.8,NO,1680547347
274,lebu,-37.6167,-73.65,15.15,63,0,8.16,CL,1680547149
275,moerai,-22.4333,-151.3333,24.32,74,99,5.05,PF,1680547313
276,alenquer,-1.9417,-54.7383,28.2,75,27,1.48,BR,1680547357
277,whyalla,-33.0333,137.5833,19.09,36,0,3.88,AU,1680546669
278,illapel,-31.6308,-71.1653,25.36,40,100,3.35,CL,1680547312
279,manggar,-2.8833,108.2667,25.11,88,100,1.7,ID,1680547360
280,pitiquito,30.7,-112.0833,27.7,9,0,10.09,MX,1680547361
281,honiara,-9.4333,159.95,25.27,88,99,2.54,SB,1680547154
282,marzuq,14.4,46.4667,23.9,66,85,2.18,YE,1680547261
283,villa juarez,24.6536,-107.5411,27.14,47,75,0.0,MX,1680547365
284,constitucion,-35.3333,-72.4167,19.31,56,100,7.26,CL,1680547366
